representation,model,accuracy,f1_macro,f1_weighted,roc_auc_ovr
original,knn,0.9813664596273292,0.9822877099231642,0.9812420666981717,0.9954054691183405
original,dt,0.9627329192546584,0.9565545262741102,0.9622560677812408,0.9676903063144385
original,gnb,0.5714285714285714,0.48019446022713286,0.5498694866792462,0.688639319721276
reduced,knn,0.9937888198757764,0.994710743801653,0.993758020635491,0.9954384724186705
reduced,dt,0.968944099378882,0.9650425111520645,0.9688983650042549,0.9753848900774583
reduced,gnb,1.0,1.0,1.0,1.0
