representation,model,accuracy,f1_macro,f1_weighted,roc_auc_ovr
original,knn,0.29411764705882354,0.28718462823725976,0.28887906039608824,0.6203296703296703
original,svm,0.23529411764705882,0.2341025641025641,0.23695324283559577,0.4090201465201465
original,rf,0.23529411764705882,0.2605616605616605,0.24484665661136246,0.5415521978021978
reduced,knn,0.5294117647058824,0.485,0.4970588235294117,0.8380723443223443
reduced,svm,0.5588235294117647,0.5461038961038961,0.5553857906799083,0.8492216117216117
reduced,rf,0.6470588235294118,0.604957264957265,0.6252890899949723,0.8809523809523808
